formula,element_1,element_2,composition_1,composition_2,melting_point,boiling_point,density,electronegativity,atomic_radius,electronegativity_difference,element_3,composition_3,alloy_type
W0.174Co0.826,W,Co,0.17419667470411832,0.8258033252958816,1881.1687775953112,3958.658422848819,9396.274488909274,1.9636144038579766,1.3499999999999999,0.48,,,binary
Co0.778Re0.222,Co,Re,0.7779954930779679,0.2220045069220321,2188.1776451104256,3049.319249805002,10051.234734245087,1.8844400901384404,1.35,0.020000000000000018,,,binary
Sm0.746Pd0.254,Sm,Pd,0.7457026186195042,0.25429738138049585,1496.7343972410513,2546.074278041884,8686.927030114819,1.4319263028219107,1.735566178378777,1.0300000000000002,,,binary
Yb0.529Ca0.471,Yb,Ca,0.5289824731637606,0.47101752683623943,1092.6936486427462,1556.3363514478601,3583.7007727911596,1.0528982473163762,1.773550876341812,0.10000000000000009,,,binary
Ir0.542Fe0.458,Ir,Fe,0.5416325050185816,0.4583674949814184,2147.089291692442,3799.2777753912374,17555.571966913245,2.0304040268568753,1.3729183747490707,0.3700000000000001,,,binary
Gd0.808Eu0.192,Gd,Eu,0.8083613983494454,0.19163860165055457,1543.1268028086292,2629.90204919154,7631.373150075478,1.2,1.8095819300825278,0.0,,,binary
Os0.254Pr0.746,Os,Pr,0.25383087220532796,0.746169127794672,1673.5121676338417,3729.3214117867583,11347.786019377785,1.4015990332597008,1.7103930202870696,1.0700000000000003,,,binary
Mn0.629V0.371,Mn,V,0.6290106548541681,0.37098934514583193,1947.3430778670108,3097.2160655750586,6380.901344029396,1.5796791476116665,1.3814505327427082,0.07999999999999985,,,binary
Cd0.784Fe0.216,Cd,Fe,0.7842541768121175,0.2157458231878825,830.2438899871357,1541.1886967574192,9310.095320734028,1.7202044152463034,1.5176381265218177,0.14000000000000012,,,binary
Co0.322Ir0.678,Co,Ir,0.32237888248807367,0.6776211175119263,2309.7238674892096,4138.814877722197,16201.847819459445,2.0968387576038165,1.35,0.3200000000000003,,,binary
Gd0.230Os0.770,Gd,Os,0.23012327772486785,0.7698767222751322,2561.866754750528,5275.996610997582,21832.50399127098,1.969876722275132,1.415061638862434,1.0000000000000002,,,binary
Re0.636Tc0.364,Re,Tc,0.6361401395021546,0.36385986049784536,3062.3760463914437,5925.075138665318,18190.9442910998,1.9,1.35,0.0,,,binary
Er0.618Ho0.382,Er,Ho,0.6184283081972748,0.3815716918027252,1661.4764293435953,3196.000853980852,10341.073812760575,1.2361842830819727,1.75,0.010000000000000009,,,binary
Sm0.237Gd0.763,Sm,Gd,0.2369109185584776,0.7630890814415224,1522.6666542630503,3677.776296110111,5735.323622689791,1.1928926724432456,1.811845545927924,0.030000000000000027,,,binary
Yb0.231Rh0.769,Yb,Rh,0.2307219950095427,0.7692780049904573,2136.218583569401,3420.947101204473,10761.655210598023,2.0077480458887393,1.4422887980038173,1.1799999999999997,,,binary
Ir0.892Ag0.108,Ir,Ag,0.8916186805092762,0.10838131949072383,2599.624364703206,3569.8648996738275,20863.477257176393,2.1707370437375046,1.377095329872681,0.27000000000000024,,,binary
Gd0.546Er0.454,Gd,Er,0.545559795019717,0.45444020498028304,1743.737479996648,3844.410240805446,7993.499130321522,1.2181776081992113,1.7772779897509858,0.040000000000000036,,,binary
Ho0.774Ta0.226,Ho,Ta,0.7742815361518477,0.2257184638481523,1916.6293940638038,3429.8318248630176,11535.417188077796,1.290943985239001,1.6822844608455543,0.27,,,binary
Cr0.757Ru0.243,Cr,Ru,0.7574420752054467,0.2425579247945533,2358.644924475123,3127.776981257352,8840.162868557885,1.790981279389059,1.3757442075205446,0.5400000000000003,,,binary
Ta0.314Pt0.686,Ta,Pt,0.31419270078056216,0.6858072992194378,2457.3267791473336,5057.726313115452,18312.29193474653,2.0349296933911614,1.3814192700780563,0.7799999999999998,,,binary
Tc0.801Pr0.199,Tc,Pr,0.8010941011781351,0.19890589882186493,2115.2793447242084,4173.732349659136,8991.750594885763,1.746842457907164,1.4494529494109325,0.77,,,binary
Ta0.624Tc0.376,Ta,Tc,0.624350932235904,0.375649067764096,3054.7989645589423,5420.762263906955,14722.931960735896,1.6502596271056382,1.4124350932235905,0.3999999999999999,,,binary
Pt0.467Tb0.533,Pt,Tb,0.46708148206991906,0.5329185179300809,1778.8914385222124,3245.7740497907607,13632.19356768925,1.6511561488425044,1.5631674071720325,1.1799999999999997,,,binary
Pd0.297Cu0.703,Pd,Cu,0.29730200615518676,0.7026979938448132,1446.2607691070434,2953.1154789607926,9683.782209774605,1.989190601846556,1.3648651003077594,0.30000000000000027,,,binary
Ce0.310La0.690,Ce,La,0.31019328681834824,0.6898067131816518,1200.8624330742173,4408.442217026368,6424.670979109147,1.106203865736367,1.918980671318165,0.020000000000000018,,,binary
Nd0.818Hg0.182,Nd,Hg,0.8182583068819816,0.18174169311801835,1132.29686851372,2853.0615406602433,4496.522156368831,1.2962978560814957,1.7863904074086938,0.8600000000000001,,,binary
Pt0.275Os0.725,Pt,Os,0.27545660732582666,0.7245433926741733,2949.815677920916,4987.895343995487,27657.56189326423,2.222036528586066,1.3137728303662914,0.07999999999999963,,,binary
Cu0.495Sc0.505,Cu,Sc,0.49481266791170486,0.5051873320882951,1557.6998551917727,3246.0143007296847,5901.157869625423,1.6271988406723206,1.476296833022074,0.5399999999999998,,,binary
Cr0.222Ni0.778,Cr,Ni,0.22227305547860887,0.7777269445213911,1614.7784493248578,3490.1660162824214,9155.293812195501,1.8544317361303477,1.3611136527739305,0.25,,,binary
Zr0.438Ho0.562,Zr,Ho,0.43772797343974723,0.5622720265602528,2057.2722795100713,3392.909816978091,8888.739641327184,1.2737727973439747,1.6624544053120505,0.10000000000000009,,,binary
Mn0.405Ir0.595,Mn,Ir,0.40529542920522943,0.5947045707947706,1929.8885573083114,3961.248026057846,20111.344827843404,1.936557971016601,1.3702647714602616,0.6500000000000001,,,binary
Ca0.301Y0.699,Ca,Y,0.3011312959854505,0.6988687040145495,1435.2311623867581,2878.510139522498,3627.8900637118195,1.153751114883201,1.8,0.21999999999999997,,,binary
Ce0.644Al0.356,Ce,Al,0.6442267282052148,0.35577327179478524,968.7763660362513,2816.8353289696174,5305.951875271321,1.2943289031794447,1.6365360369231288,0.49,,,binary
Ni0.808Ho0.192,Ni,Ho,0.8078307601032872,0.19216923989671275,1545.4644484491855,3298.0413940801745,8069.258309171659,1.7793249168702354,1.426867695958685,0.6799999999999999,,,binary
Ag0.372Tb0.628,Ag,Tb,0.37214037842483616,0.6278596215751638,1712.105266964184,2862.310530399107,8772.21002856858,1.408876514092614,1.6941789432362746,0.8299999999999998,,,binary
Cd0.227Hg0.773,Cd,Hg,0.2265262034757358,0.7734737965242642,341.54146004032054,633.8181552852625,2004.0213347109507,1.9297768769225219,1.5113263101737866,0.31000000000000005,,,binary
Al0.801Yb0.199,Al,Yb,0.8006823523025552,0.19931764769744476,1092.3428249422814,2121.8823235073023,3535.4523427172344,1.5083479996743034,1.3496588238487224,0.51,,,binary
Pd0.710Sc0.290,Pd,Sc,0.7095697592416518,0.2904302407583482,1871.3712829793121,3447.350694721365,8235.593889819724,1.9560385977629877,1.4580860481516695,0.8400000000000001,,,binary
Sc0.796Co0.204,Sc,Co,0.7964148558694135,0.20358514413058648,1566.3408503660128,3285.7369444155693,4313.619128821588,1.4658642749479052,1.5491037139673534,0.5199999999999998,,,binary
Hf0.506Gd0.494,Hf,Gd,0.5061303055821074,0.49386969441789264,2102.5257525292673,4353.572583688864,9915.20372249294,1.2506130305582108,1.6734674236044733,0.10000000000000009,,,binary
Mo0.399Zn0.601,Mo,Zn,0.39913108207291836,0.6008689179270816,1608.6059484200405,2747.794571367826,7793.697050938581,1.8535568518571883,1.389913108207292,0.5100000000000002,,,binary
Zr0.863La0.137,Zr,La,0.8627997981228023,0.13720020187719772,2372.820063415097,4768.913147599365,5691.23003771761,1.2984439535682446,1.6048800807508792,0.22999999999999998,,,binary
Y0.579Al0.421,Y,Al,0.5791556675681833,0.42084433243181674,1528.9454110458144,2946.920027902021,4019.552332956124,1.3841292896484085,1.568535617162501,0.3900000000000001,,,binary
Ba0.189Ti0.811,Ba,Ti,0.18949418025671605,0.810505819743284,1966.90999431947,3021.3602491758224,4734.0672729964335,1.4168287828331345,1.542120635192537,0.65,,,binary
Os0.292Hf0.708,Os,Hf,0.29156184827044707,0.7084381517295529,2852.3204725057158,5405.8882983831,19060.476843889934,1.5624056634434025,1.4771095379323882,0.9000000000000001,,,binary
Rh0.858Pr0.142,Rh,Pr,0.8575595562383953,0.1424404437616047,2039.1321452903921,3615.577292065573,10588.58990114255,2.1161934896741545,1.4212202218808025,1.15,,,binary
Fe0.489Yb0.511,Fe,Yb,0.48879237065329106,0.5112076293467089,1328.0317687818617,2265.2382159250287,7453.266622507515,1.4568184305769025,1.5789226702713481,0.73,,,binary
Mn0.713La0.287,Mn,La,0.7126675434455902,0.28733245655440975,1464.767178326766,2965.4046338409057,7098.78961215817,1.4207003945505157,1.5580328511049253,0.44999999999999996,,,binary
Cu0.480Dy0.520,Cu,Dy,0.4802259024789851,0.5197740975210149,1746.9580820478282,2933.143361855654,11102.422323434315,1.5465536136857096,1.5579096390084062,0.6799999999999999,,,binary
Ce0.312Zr0.688,Ce,Zr,0.31204530315204726,0.6879546968479527,1909.6789151994226,3981.4011207822487,5863.337786332701,1.26447048633807,1.6436135909456142,0.20999999999999996,,,binary
Sm0.871Hg0.129,Sm,Hg,0.8714903248059642,0.12850967519403578,1260.272934199906,1847.9215558725557,6865.60475569834,1.2766630304110496,1.8050216136820874,0.8300000000000001,,,binary
La0.652Yb0.348,La,Yb,0.6518941056796972,0.3481058943203028,1214.4576094142044,2929.912418624098,5760.659067362767,1.1,1.8803788211359396,0.0,,,binary
Tm0.419Hf0.581,Tm,Hf,0.41919383999794335,0.5808061600020566,1881.6629297838263,3595.815928856759,12634.498624636997,1.279040308000103,1.6338387679995887,0.050000000000000044,,,binary
Dy0.399Tb0.601,Dy,Tb,0.3987364020234351,0.6012635979765649,1684.6467989650794,2835.188099995188,8496.01046593273,1.1478483682428122,1.75,0.11999999999999988,,,binary
Y0.197Mg0.803,Y,Mg,0.19680335669461257,0.8031966433053874,1137.6073962396229,1645.4822742121264,2311.049139465467,1.2922876978974849,1.5590410070083838,0.09000000000000008,,,binary
Ru0.370Mn0.630,Ru,Mn,0.37046844971796433,0.6295315502820357,1933.2577945377768,2752.683870619594,9617.511536869479,1.7908044923166768,1.3629531550282037,0.6500000000000001,,,binary
Nd0.284Ce0.716,Nd,Ce,0.2840917860772616,0.7159082139227384,1196.5971033871604,3944.608817251232,7428.745460089915,1.1256818357215452,1.85,0.019999999999999796,,,binary
Ru0.157Al0.843,Ru,Al,0.15679446880722603,0.843205531192774,1031.11886659588,2761.9078609306666,4433.351812173597,1.7025087365962635,1.2578397234403613,0.5900000000000001,,,binary
Gd0.283Cr0.717,Gd,Cr,0.28315342704892354,0.7168465729510765,2114.8729731649146,3268.0198653714083,10189.348607230153,1.529749423557495,1.5132613708195695,0.45999999999999996,,,binary
V0.157W0.843,V,W,0.15668587991092275,0.8433141200890772,3655.5100803972964,6115.02764364031,18831.18604474004,2.2456193076650264,1.35,0.73,,,binary
Rh0.635Ag0.365,Rh,Ag,0.6351822226370245,0.3648177773629755,1993.3301706100247,3301.2674370171903,12625.604284917663,2.1523137779229584,1.441204444340744,0.34999999999999987,,,binary
Tc0.206La0.794,Tc,La,0.20584947898002,0.79415052101998,1335.7588603026365,3814.133586834919,6896.32087834135,1.264679583184016,1.8264903126119878,0.7999999999999998,,,binary
Pr0.294Sr0.706,Pr,Sr,0.2943977939165796,0.7056022060834204,1105.492472417407,2729.8038992606294,3099.007187858007,1.0029916029049843,1.9558403309125132,0.17999999999999994,,,binary
Sr0.252Au0.748,Sr,Au,0.25232793148950217,0.7476720685104978,1351.628768087771,2312.431795392238,14381.373894124607,2.1387985889316914,1.5140131554681764,1.59,,,binary
Co0.445Dy0.555,Co,Dy,0.44484094592510204,0.555159054074898,1906.3525098917883,3019.4276637980943,7767.937997794362,1.5135950243105674,1.572063621629959,0.6599999999999999,,,binary
Hg0.474Au0.526,Hg,Au,0.47361973442934,0.52638026557066,756.630973954191,2077.5741832319754,9417.149503089013,2.2842453434081564,1.421042960164401,0.54,,,binary
Yb0.639Cr0.361,Yb,Cr,0.6386916378346412,0.3613083621653588,1520.5124222274467,2011.0529967841594,6334.424904757581,1.302332682812601,1.6235420732421244,0.5599999999999998,,,binary
Tb0.148Co0.852,Tb,Co,0.14849013926161092,0.8515098607383891,2121.984057301491,3450.69876027234,7016.979916328829,1.7641776913759433,1.4093960557046445,0.7799999999999998,,,binary
Yb0.740W0.260,Yb,W,0.7404740086893591,0.2595259913106409,1804.2742184344938,2428.1911958264664,10701.356143491385,1.4270027490514077,1.6461896034757437,1.2599999999999998,,,binary
Co0.253Rh0.747,Co,Rh,0.25327205771332323,0.7467279422866768,1950.342441244793,3730.1914119613048,12134.18915306879,2.1786911769146706,1.3500000000000003,0.3999999999999999,,,binary
La0.212Mg0.788,La,Mg,0.2121458376758196,0.7878541623241804,1065.1475723383876,1643.7028763440267,2583.7220275022783,1.265449374088078,1.5954656269541188,0.20999999999999996,,,binary
Nb0.470Ag0.530,Nb,Ag,0.47010245472077394,0.5298975452792261,1854.688288921721,3410.417471220919,11280.015465556744,1.7748661899421445,1.529484631791884,0.32999999999999985,,,binary
Mn0.746Mg0.254,Mn,Mg,0.746417795785362,0.25358220421463795,1423.2610373490922,1824.5278985817442,6568.69539908501,1.4891402709884871,1.4253582204214639,0.24,,,binary
Ce0.140Co0.860,Ce,Co,0.140470663619905,0.859529336380095,2024.0007028469377,3597.492526501387,7284.368782263836,1.773242295648872,1.4202353318099528,0.7599999999999998,,,binary
La0.875Al0.125,La,Al,0.875197005827801,0.12480299417219898,1104.409194054545,4083.4805252992946,5311.430048332767,1.1636495270278215,1.8626379040794607,0.51,,,binary
Rh0.425Zr0.575,Rh,Zr,0.42513124636197763,0.5748687536380224,2270.8407085854305,4717.626424473692,8198.29358744627,1.7338746840438786,1.4649737507276046,0.9499999999999997,,,binary
Sr0.792Tc0.208,Sr,Tc,0.7917203152241724,0.2082796847758276,1329.4648893134056,1524.4120991045543,4018.777301523178,1.147865700537036,1.864618204895712,0.95,,,binary
Cr0.403Zr0.597,Cr,Zr,0.4031784951815329,0.5968215048184671,2094.689262887486,3484.4988798468594,7868.860105527067,1.4630489034099057,1.48952322572277,0.32999999999999985,,,binary
Ir0.841Pd0.159,Ir,Pd,0.8412144588474667,0.1587855411525333,2223.324966320876,4271.750619851162,21236.652114385208,2.2,1.3579392770576266,0.0,,,binary
Ca0.438Cd0.562,Ca,Cd,0.43840598879213033,0.5615940112078697,941.0825652811438,1159.8729566478378,6181.398177217546,1.38749986773343,1.6596014971980326,0.69,,,binary
Yb0.629Ce0.371,Yb,Ce,0.6294970495605962,0.37050295043940384,1087.3669862311365,2047.8905033349536,6919.729241030671,1.1074100590087883,1.7870502950439404,0.020000000000000018,,,binary
Ba0.252Zn0.748,Ba,Zn,0.2519182938141097,0.7480817061858903,785.4291078563532,1337.2106250399877,6268.992136895262,1.4585420967012768,1.5515346350512877,0.7599999999999999,,,binary
Tc0.563Cr0.437,Tc,Cr,0.563344232653005,0.43665576734699496,2231.411089233516,3885.5837383663443,10231.573424559905,1.7952026158367214,1.3718327883673498,0.24,,,binary
La0.698Cr0.302,La,Cr,0.6983804483032513,0.3016195516967487,1727.125786012368,3068.52225051498,7820.7225847299815,1.2689069489501792,1.7841092465667883,0.5599999999999998,,,binary
Cr0.481Nd0.519,Cr,Nd,0.4814308136871479,0.5185691863128521,1385.9337031636364,3118.4039439082985,7373.3721341315595,1.3903440231173168,1.6333561338407834,0.52,,,binary
Y0.146Zr0.854,Y,Zr,0.14550366378294763,0.8544963362170523,2138.5792361778445,4244.048576687333,6084.984244272067,1.3139945969838758,1.586375915945737,0.1100000000000001,,,binary
Sc0.781Fe0.219,Sc,Fe,0.7810740362752971,0.21892596372470285,1723.9452317731348,2926.506836328739,4399.870642014887,1.4628952029506104,1.5562148072550595,0.47,,,binary
Mn0.154Sm0.846,Mn,Sm,0.1543686907006058,0.8456313092993942,1420.837684072636,1969.219430712192,8034.161704860663,1.2286601024662303,1.7805340891847274,0.3800000000000001,,,binary
Rh0.196Pt0.804,Rh,Pt,0.19590929115769937,0.8040907088423006,2143.629548922582,4403.572474310065,20618.65643095614,2.28,1.35,0.0,,,binary
Pr0.563Rh0.437,Pr,Rh,0.5631352460057685,0.4368647539942315,1520.1251041554106,3530.4264249766093,9864.064058184204,1.632394467093366,1.6315676230028844,1.15,,,binary
V0.166Eu0.834,V,Eu,0.1655867243959004,0.8344132756040996,1356.5316040970151,2106.8900819726614,5450.607035557454,1.271202291490237,1.76720663780205,0.42999999999999994,,,binary
Dy0.552Nd0.448,Dy,Nd,0.5521815390752716,0.44781846092472843,1701.2194301461595,2896.560911056437,8191.793291766564,1.1841745231260217,1.794781846092473,0.08000000000000007,,,binary
Ta0.263Pd0.737,Ta,Pd,0.26340735953882916,0.7365926404611709,2168.390357164656,3808.4536863597027,14696.762629965477,2.01561484832282,1.4131703679769414,0.7000000000000002,,,binary
Tm0.291Ta0.709,Tm,Ta,0.29094876209267684,0.7090512379073232,3097.9347520961305,5093.543395732921,16412.883203648144,1.4272628094768307,1.5372846286278032,0.25,,,binary
Pt0.637Cu0.363,Pt,Cu,0.637352178367977,0.362647821632023,1797.2500731343964,4029.5982572084145,16159.157295744677,2.142193827779831,1.35,0.3799999999999999,,,binary
Hf0.353Ca0.647,Hf,Ca,0.3529417570174832,0.6470582429825168,1658.0012195378192,2820.6327282760435,5755.888534437842,1.105882527105245,1.711764560745629,0.30000000000000004,,,binary
Mn0.467Al0.533,Mn,Al,0.4666284180948689,0.5333715819051311,1278.512234617071,2367.3236398103586,5956.4893516116845,1.5820022949143078,1.3199942627142303,0.06000000000000005,,,binary
Pr0.159Co0.841,Pr,Co,0.15860857687970642,0.8413914231202936,1510.2508510691885,2862.0438768911167,9530.750185908588,1.76104356734022,1.4293042884398535,0.75,,,binary
Tc0.312Sc0.688,Tc,Sc,0.3121603318003211,0.6878396681996789,2165.121319529913,3772.5719073212354,5997.62343786771,1.5285665791721734,1.5219599170499198,0.5399999999999998,,,binary
Re0.803Mn0.197,Re,Mn,0.8034161939876342,0.1965838060123658,3073.85831594848,4709.829992756601,18495.43846955305,1.831195667895672,1.3598291903006183,0.34999999999999987,,,binary
Os0.226Cd0.774,Os,Cd,0.2261974658857856,0.7738025341142144,1125.8425128447966,2195.2524955238737,11634.075434944543,1.8053607076017506,1.4934506335285536,0.5100000000000002,,,binary
La0.342Tm0.658,La,Tm,0.3420137143831119,0.6579862856168881,1471.8117482891673,2654.7091817138794,8575.159905367107,1.1986979428425333,1.8184027428766225,0.1499999999999999,,,binary
Tb0.106Y0.894,Tb,Y,0.10625848572172636,0.8937415142782736,1680.5403191727385,3301.923359431694,4988.829886609347,1.207248981713393,1.7946870757139137,0.11999999999999988,,,binary
Ce0.845Hf0.155,Ce,Hf,0.8454048315488619,0.15459516845113808,1321.9160812563478,3631.247827749391,7349.282802675218,1.1478271303212049,1.8036214494646587,0.17999999999999994,,,binary
Co0.312Cu0.688,Co,Cu,0.31157273718970213,0.6884272628102979,1520.0595090319607,2736.6130107208564,7659.187913193676,1.8937685452562059,1.35,0.020000000000000018,,,binary
Co0.543Lu0.457,Co,Lu,0.5425789127078527,0.45742108729214725,1707.6346572589848,3344.334254575745,9620.523471701905,1.60097313675179,1.5329684349168589,0.6099999999999999,,,binary
Ag0.584Cd0.416,Ag,Cd,0.5838638616241791,0.41613613837582086,1111.1672512128112,2013.5422138876208,9568.780328668368,1.8301273267898028,1.579193193081209,0.24,,,binary
Tm0.263W0.737,Tm,W,0.2628778498619624,0.7371221501380376,3195.490087998145,4391.058403886419,16609.080181796082,2.0682055866532214,1.455151139944785,1.1099999999999999,,,binary
Gd0.504Pd0.496,Gd,Pd,0.5043272464783898,0.4956727535216102,1656.2433036696068,3489.8447362605875,9121.55114843686,1.6956727535216105,1.6017308985913559,1.0000000000000002,,,binary
Pd0.174Cr0.826,Pd,Cr,0.17383877417018673,0.8261612258298132,2228.8574887867203,3453.779582095425,7901.9678315830415,1.7538729380519007,1.3999999999999997,0.5400000000000003,,,binary
Hg0.135Ag0.865,Hg,Ag,0.13526940943924004,0.86473059056076,1143.7494164790999,2342.020781031535,8707.07584621912,1.9394688586607467,1.586473059056076,0.07000000000000006,,,binary
W0.610Cu0.390,W,Cu,0.6096907018411037,0.39030929815889626,2845.11690024734,4808.314371718007,15366.749461901049,2.1804577228469078,1.35,0.45999999999999996,,,binary
Pd0.693Zr0.307,Pd,Zr,0.6929847266783447,0.30701527332165535,1771.7105900220613,3688.963692302312,10845.200492492397,1.93289671221016,1.4460522909982483,0.8700000000000001,,,binary
Ce0.442Tm0.558,Ce,Tm,0.4421495351845435,0.5578504648154565,1702.084071133286,3119.480651380571,9913.66985853136,1.1925205604260094,1.7942149535184544,0.1299999999999999,,,binary
Al0.160Ni0.840,Al,Ni,0.16019508805901364,0.8398049119409864,1477.8893225053212,3395.2986758040793,8058.596752622777,1.861941473582296,1.3339804911940987,0.2999999999999998,,,binary
Er0.536Zn0.464,Er,Zn,0.5364722313644179,0.4635277686355821,1569.8020607269325,2051.6080864637484,7486.9202393437245,1.4300463851405887,1.5645888925457672,0.4099999999999999,,,binary
Os0.542Nd0.458,Os,Nd,0.5420200773959981,0.4579799226040019,2242.908145196371,3472.8440434960335,14561.28679059274,1.7145412820397579,1.551888957432201,1.0600000000000003,,,binary
Hg0.133Cu0.867,Hg,Cu,0.1334630865350863,0.8665369134649137,1116.1405071965373,2899.9511139753286,7993.669866327083,1.9133463086535085,1.370019462980263,0.10000000000000009,,,binary
Os0.819V0.181,Os,V,0.8191397092211797,0.18086029077882027,3685.049797463589,5469.42925573746,18493.585325505643,2.0969096342560727,1.3090430145389411,0.5700000000000003,,,binary
Tc0.300Ho0.700,Tc,Ho,0.29962379137833955,0.7003762086216605,1768.0176806473903,3625.9220268866857,8337.334678136658,1.4307479402234877,1.6301504834486642,0.6699999999999999,,,binary
Co0.724Re0.276,Co,Re,0.7240929934971542,0.27590700650284583,2643.8089686797503,4400.670114153972,11669.534582609474,1.8855181401300567,1.35,0.020000000000000018,,,binary
Au0.700Eu0.300,Au,Eu,0.6995820889148314,0.3004179110851686,1048.8945827899195,3099.3171758957033,14904.630384912713,2.137439999145874,1.5002089555425844,1.34,,,binary
Rh0.881Zr0.119,Rh,Zr,0.8809648263447704,0.11903517365522964,2499.3186289518685,3406.7710006905154,11039.201011118645,2.166916585027532,1.3738070347310458,0.9499999999999997,,,binary
Nb0.120Au0.880,Nb,Au,0.11982908951855098,0.880170910481449,1507.39898038801,3371.0004251672967,17203.475403486093,2.427360655852562,1.3619829089518551,0.94,,,binary
Lu0.726W0.274,Lu,W,0.7259091969181054,0.2740908030818946,2560.2563199855704,3809.7648414665887,12243.086179623078,1.5687589753592652,1.6403636787672422,1.0899999999999999,,,binary
Au0.791Dy0.209,Au,Dy,0.7912512227002235,0.20874877729977648,1425.8099372663414,3226.5359875345544,18269.90107150224,2.264451613964295,1.4334995109199107,1.32,,,binary
Rh0.227Ag0.773,Rh,Ag,0.227358274384585,0.772641725615415,1298.250882421317,2356.5133827554637,12332.841321865135,2.0095753960346046,1.5431604314038538,0.34999999999999987,,,binary
Er0.406Co0.594,Er,Co,0.40603337807754747,0.5939666219224525,1841.0170161475744,2938.3214110449408,10358.381802286367,1.6201386380303695,1.512413351231019,0.6399999999999999,,,binary
V0.278Sr0.722,V,Sr,0.27794697403653157,0.7220530259634684,1380.7025134554294,2479.392178356109,3621.543592302608,1.1390039423448415,1.8193344668762546,0.6799999999999999,,,binary
Ca0.344Re0.656,Ca,Re,0.34415269387088043,0.6558473061291196,3198.8795117649915,5235.645572266102,13962.846645817684,1.5902625755162076,1.5048687122418962,0.8999999999999999,,,binary
Ru0.628Ti0.372,Ru,Ti,0.6280265461989032,0.3719734538010968,2588.485079773132,4366.719279051682,10737.868879602185,1.9544975204912762,1.3371973453801096,0.6600000000000001,,,binary
Pt0.323W0.677,Pt,W,0.3228824488184031,0.6771175511815969,2856.061404644776,5630.922236683638,21944.452234008735,2.3341694040945278,1.35,0.08000000000000007,,,binary
Mn0.381Ag0.619,Mn,Ag,0.38091690326620176,0.6190830967337982,1106.9142455722927,2112.9562489369187,7435.063355536063,1.7852515767588433,1.5238166193467597,0.3799999999999999,,,binary
Sc0.644Pt0.356,Sc,Pt,0.643614494688211,0.35638550531178903,1843.98833555023,3705.701244870451,10855.187944536841,1.687874664886846,1.5109036236720528,0.9199999999999997,,,binary
La0.851W0.149,La,W,0.8513897122597726,0.14861028774022744,1576.4174611390138,4712.906300326007,6976.419385410152,1.2872489625526866,1.8608338273558636,1.2599999999999998,,,binary
Ni0.243Pd0.757,Ni,Pd,0.24285425293797092,0.7571457470620291,1496.5044102333584,3205.9495019647457,11699.216685885182,2.1295722666479886,1.3878572873531014,0.29000000000000026,,,binary
Pd0.187V0.813,Pd,V,0.18672203777176888,0.8132779622282311,2109.8024401244143,2853.4167652987794,7149.79543384752,1.7364315615299082,1.3593361018885886,0.5700000000000003,,,binary
Hg0.683Re0.317,Hg,Re,0.6828360485221634,0.3171639514778366,1093.0910099087773,2444.9981448193735,6911.189475068332,1.9682836048522163,1.4524254072783247,0.10000000000000009,,,binary
Ta0.585Hg0.415,Ta,Hg,0.5849670826449146,0.4150329173550854,1831.7680515841,3428.1626005003823,8708.059528115115,1.7075164586775426,1.4707516458677543,0.5,,,binary
